Timestamp,Category,Product_Name,Room_No,Row_No,Product_Count,Item_ID,Storage_Type,Product_Size,Weight_kg,Access_Frequency,Last_Accessed,Stock_Threshold,Temperature_Requirement,Supplier_Name,Expiration_Date,Handling_Priority,Date,Units_Sold,Stock_On_Hand,Restock_Lead_Time_Days,Season,Promotion_Active,Supplier_Delay_Days,Forecast_Window
2025-03-21 21:23:57,Clothing,Jacket,Room-3,Row-G,13,1a7b7320,Pallet,Small,1.43,20,2025-04-07 20:52:54,14,None,"Mathis, Alvarado and Ayala",,Medium,2025-03-21 21:23:57,16,0,2,Spring,1,1,7
2025-03-27 01:14:28,Toys,Doll,Room-2,Row-J,7,8a2ed3a4,Cold Storage,Large,32.57,100,2025-04-08 22:05:11,12,None,Edwards and Sons,,Medium,2025-03-27 01:14:28,37,0,9,Spring,0,4,14
2025-03-20 18:45:46,Toys,Car,Room-4,Row-J,4,58bd069a,Shelf,Large,41.34,16,2025-04-09 02:16:56,14,None,Wood-Chambers,,Medium,2025-03-20 18:45:46,2,0,6,Spring,1,3,7
2025-04-08 03:18:36,Toys,Blocks,Room-5,Row-I,4,fccdf0e1,Shelf,Small,1.62,7,2025-04-08 07:41:32,5,None,Ryan and Sons,,Medium,2025-04-08 03:18:36,11,0,6,Spring,0,1,7
2025-04-12 00:36:56,Electronics,Smartphone,Room-7,Row-H,16,d1f7aa08,Bin,Small,0.56,73,2025-04-11 20:54:27,6,None,"Smith, Bradford and Newman",,Low,2025-04-12 00:36:56,31,0,6,Spring,0,4,30
2025-03-27 23:57:36,Food,Milk,Room-2,Row-H,12,c2430c6f,Cold Storage,Large,15.95,47,2025-04-10 19:44:44,6,Refrigerated,Gutierrez and Sons,2025-04-24 23:57:36,Medium,2025-03-27 23:57:36,19,0,8,Spring,0,3,14
2025-03-16 11:39:06,Clothing,Jacket,Room-6,Row-G,7,dc550d9d,Shelf,Large,47.64,53,2025-04-12 00:03:29,13,None,Cohen and Sons,,Medium,2025-03-16 11:39:06,22,0,13,Spring,1,1,30
2025-04-09 17:34:39,Food,Bread,Room-4,Row-E,11,62cc0adb,Bin,Small,1.14,30,2025-04-11 13:01:35,12,Refrigerated,Baker Ltd,2025-05-01 17:34:39,High,2025-04-09 17:34:39,14,0,12,Spring,1,4,7
2025-03-15 01:40:02,Furniture,Table,Room-8,Row-F,9,aa3274ca,Pallet,Medium,9.28,100,2025-04-11 16:09:16,12,None,Johnson and Sons,,Medium,2025-03-15 01:40:02,37,0,2,Spring,0,1,7
2025-03-27 16:54:45,Toys,Blocks,Room-6,Row-J,5,79a97c54,Pallet,Small,1.36,48,2025-04-11 12:11:45,12,None,"Hudson, Thomas and Edwards",,Medium,2025-03-27 16:54:45,34,0,14,Spring,1,0,7
2025-04-11 04:53:48,Toys,Puzzle,Room-2,Row-B,2,c4d067a2,Cold Storage,Large,23.06,29,2025-04-11 08:54:13,10,None,Allen-Morgan,,Medium,2025-04-11 04:53:48,13,0,3,Spring,1,3,30
2025-03-20 16:04:22,Electronics,Speaker,Room-9,Row-H,14,77aa4785,Shelf,Small,0.71,51,2025-04-07 21:28:06,11,None,"Crawford, Ochoa and Lewis",,Medium,2025-03-20 16:04:22,43,0,13,Spring,0,4,30
2025-04-08 22:30:52,Toys,Puzzle,Room-9,Row-D,12,9a8a19d8,Pallet,Small,0.57,54,2025-04-08 00:25:20,15,None,Lynch-Rojas,,Medium,2025-04-08 22:30:52,34,0,9,Spring,1,0,30
2025-03-24 08:19:06,Clothing,Shirt,Room-9,Row-I,10,aa5b7287,Shelf,Large,29.71,80,2025-04-12 01:10:09,7,None,"Esparza, Robinson and Forbes",,Medium,2025-03-24 08:19:06,21,0,10,Spring,0,1,30
2025-03-27 17:20:54,Electronics,Laptop,Room-10,Row-C,6,b3dc7732,Bin,Small,0.75,21,2025-04-10 10:04:35,12,None,Colon Group,,High,2025-03-27 17:20:54,47,0,11,Spring,1,3,14
2025-03-29 00:10:45,Electronics,Laptop,Room-9,Row-I,13,c8a409c6,Bin,Large,16.94,74,2025-04-09 06:10:51,6,None,Cruz-Lewis,,Low,2025-03-29 00:10:45,14,0,1,Spring,0,4,30
2025-04-03 19:42:41,Clothing,Jeans,Room-10,Row-B,6,beb57da9,Cold Storage,Large,43.48,96,2025-04-08 16:03:20,5,None,Vasquez Inc,,Medium,2025-04-03 19:42:41,43,0,11,Spring,0,3,14
2025-04-07 22:04:01,Electronics,Laptop,Room-2,Row-E,4,7576a6b5,Bin,Large,30.62,100,2025-04-10 18:15:35,14,None,Dyer Inc,,Medium,2025-04-07 22:04:01,2,11,5,Spring,0,0,7
2025-04-02 09:43:23,Clothing,Jeans,Room-6,Row-A,5,9db8b3b5,Pallet,Small,1.48,11,2025-04-12 02:26:30,11,None,Pope Ltd,,Medium,2025-04-02 09:43:23,30,0,5,Spring,1,2,7
2025-04-07 03:19:58,Food,Milk,Room-9,Row-H,16,6992e819,Cold Storage,Small,1.69,25,2025-04-12 01:35:05,13,Refrigerated,"Wright, Casey and Blake",2025-04-21 03:19:58,Medium,2025-04-07 03:19:58,50,0,6,Spring,0,1,7
2025-04-02 11:24:07,Furniture,Table,Room-1,Row-I,18,a2bf34a8,Pallet,Small,1.61,96,2025-04-10 18:37:19,12,None,Fowler-Hernandez,,Medium,2025-04-02 11:24:07,15,10,6,Spring,0,3,7
2025-03-26 02:43:10,Toys,Doll,Room-2,Row-H,1,2150144f,Cold Storage,Medium,2.55,71,2025-04-12 01:33:32,9,None,Morris-Young,,Medium,2025-03-26 02:43:10,29,0,12,Spring,0,4,14
2025-04-04 20:41:14,Furniture,Bed,Room-5,Row-E,16,0925dfd1,Pallet,Medium,7.45,79,2025-04-09 17:24:46,15,None,Johnson-Walker,,Medium,2025-04-04 20:41:14,45,0,13,Spring,1,0,7
2025-04-10 05:12:22,Toys,Puzzle,Room-8,Row-D,1,ac53d94b,Cold Storage,Small,1.03,24,2025-04-12 07:42:29,12,None,"Miller, Peterson and Duncan",,Medium,2025-04-10 05:12:22,0,3,12,Spring,1,2,7
2025-03-18 07:47:57,Furniture,Cupboard,Room-6,Row-H,4,e3e4ed3f,Shelf,Small,1.38,95,2025-04-10 10:49:03,13,None,"Estes, Collier and Perry",,Medium,2025-03-18 07:47:57,25,0,11,Spring,0,1,14
2025-03-15 14:32:32,Food,Milk,Room-1,Row-I,16,04abe108,Bin,Small,0.14,41,2025-04-09 11:06:12,8,Refrigerated,Hall-Horn,2025-04-13 14:32:32,High,2025-03-15 14:32:32,16,9,14,Spring,1,2,7
2025-04-05 11:47:47,Electronics,Smartphone,Room-4,Row-E,12,739fe24a,Pallet,Medium,5.39,60,2025-04-08 16:58:27,7,None,"Smith, Howard and Garcia",,Low,2025-04-05 11:47:47,29,0,1,Spring,0,0,7
2025-04-11 10:15:23,Electronics,Laptop,Room-3,Row-B,6,6d5a36d0,Cold Storage,Medium,4.74,54,2025-04-09 10:13:38,13,None,Smith PLC,,High,2025-04-11 10:15:23,1,15,1,Spring,0,4,30
2025-04-06 15:23:23,Clothing,Shirt,Room-9,Row-H,1,f8530210,Shelf,Medium,4.79,72,2025-04-07 17:14:30,12,None,Castro-Pennington,,Medium,2025-04-06 15:23:23,31,0,3,Spring,1,3,14
2025-03-22 18:11:06,Food,Bread,Room-1,Row-C,8,b2185067,Bin,Large,41.02,69,2025-04-11 12:09:19,10,Refrigerated,"Swanson, Thomas and Ferrell",2025-04-06 18:11:06,High,2025-03-22 18:11:06,21,0,9,Spring,0,0,30
2025-03-20 02:18:06,Electronics,Smartphone,Room-3,Row-B,8,e1ca6dac,Bin,Medium,8.75,12,2025-04-10 16:19:02,7,None,Gonzales-Hamilton,,High,2025-03-20 02:18:06,29,0,11,Spring,0,1,7
2025-04-05 11:35:11,Electronics,Laptop,Room-3,Row-H,18,4449b6ff,Shelf,Small,0.19,70,2025-04-08 15:50:46,9,None,Alexander and Sons,,High,2025-04-05 11:35:11,29,0,6,Spring,1,3,30
2025-04-08 05:06:20,Clothing,Dress,Room-5,Row-H,7,ab211233,Pallet,Large,15.99,65,2025-04-08 10:04:05,12,None,Arias PLC,,Medium,2025-04-08 05:06:20,30,0,10,Spring,0,1,7
2025-04-07 09:10:09,Clothing,Dress,Room-4,Row-B,4,fab772f5,Bin,Medium,9.14,31,2025-04-09 17:55:52,10,None,Hahn-Clark,,Medium,2025-04-07 09:10:09,32,0,11,Spring,1,1,30
