Timestamp,Category,Product_Name,Room_No,Row_No,Product_Count,Item_ID,Storage_Type,Product_Size,Weight_kg,Access_Frequency,Last_Accessed,Stock_Threshold,Temperature_Requirement,Supplier_Name,Expiration_Date,Handling_Priority,Units_Sold,Stock_On_Hand,Restock_Lead_Time_Days,Season,Promotion_Active,Supplier_Delay_Days,Forecast_Window
2020-07-22 10:45:10,food,Ghee,4,46,12,15843,Shelf,litre,3.6,1,2020-04-09,15,2-8,Fresh n More,1903-08-24,1,0,12,10,Summer,False,0,30
2021-06-05 10:57:38,electronics,Mobile,7,1,7,1525155,Original,64 GB,0.181,5,2022-10-21,25,No temperature requirement,Asus,2020-03-21,Normal,0,7,9,Summer,False,13,15
2019-07-19 14:58:42,clothing,Trousers,225,20,2,20544646,Wire rack,M,0.65,1,2019-07-19,10,Cool,Brand Factory,2019-07-19,a-high,0,2,7,summer,False,39,18
2020-06-01 03:21:55,clothing,Sweater,3,48,10,245823,Bin,M,0.472,1,2020-06-04,8,Chilled,Supplier48,2020-12-18,High,0,10,2,Spring,False,1,30
2019-01-01 23:23:35,food,Rice,1,38,10,2550756,Wire Shelving,1,1.0,1,2019-01-01,4,Chilled,Marigold,2019-05-01,High,0,10,4,Summer,False,1,1
2019-04-15 22:48:32,furniture,Night Stand,324,0,11,8347908,Shelf,Small,4.5,1,2019-02-18,16,No Requirement,Maple Wood Furniture,2023-12-31,Normal,0,11,6,Winter,False,11,14
2021-08-18 19:53:44,clothing,Sweatshirt,198,46,1,1104740975,Standard,XL,0.725,2,2021-07-13,15,25,Supplier002,2023-07-14,3,0,1,10,Spring/Summer,False,18,0
2015-06-08 01:52:23,electronics,wireless speaker,5,17,4,3618104,Wire Shelf,medium,0.79,1,2018-06-08,5,None,Supplier 2,2019-11-07,A-Normal,0,4,32,Winter,False,33,12
2020-03-04 18:15:50,furniture,Chair,4,3,1,CHAIR-Brown-4-3-1,Wooden shelf,Medium,10.0,10,2020-03-04,20,20-25,Supplier_2,2020-08-12,Medium,0,1,3,Summer,False,2,10
2019-06-02 14:34:38,clothing,pants,2,1,33,8513688,Rack,18,3.34,5,2019-06-02,4,20°C,Kings Supermarket,2019-10-02,high,0,33,1,Fall,False,10,31
2014-11-17 18:37:43,food,Bakery,1,1,17,113774,Second,10,1.0,1,2014-09-25,4,Cold,Supplier2,1988-11-13,1,0,17,13,Winter,False,9,14
2019-12-16 13:32:09,clothing,Women's T-Shirts,1,39,6,19915418,Pallet rack,S,0.4,1,2020-07-06,6,Cool,Swarovski,2022-01-29,Normal,0,6,10,Spring,False,1,1
2022-08-15 13:27:30,furniture,Bookcase,25,5,5,1721730,Shelf,60x60x180,25.0,1,2022-07-20,100,100,PK,1999-01-01,Average,0,5,2,D,False,1,30
2022-12-06 15:54:35,food,cereal,1,55,6,187291,Rack,1000,850.0,2,2022-12-05,12,Refrigerated,supplier-1,2022-07-11,2,0,6,2,Summer,False,1,5
